route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,4,2911,"NEWARK PENN STATION",0,"5714",1257
15,4,2912,"NEWARK PENN STATION",0,"5710",1258
15,4,2913,"NEWARK PENN STATION",0,"5718",1259
15,4,2914,"NEWARK PENN STATION",0,"5416",1260
15,4,2915,"NEWARK",0,"5404",1261
15,4,2916,"NEWARK PENN STATION",0,"5422",1262
15,4,2917,"NEWARK PENN STATION",0,"5438",1263
15,4,2918,"NEWARK PENN STATION",0,"5440",1264
15,4,2919,"NEWARK PENN STATION",0,"5448",1265
15,4,2920,"NEWARK PENN STATION",0,"5408",1266
15,4,2921,"NEWARK PENN STATION",0,"5420",1267
15,4,2922,"NEW YORK PENN STATION",0,"5132",1268
15,4,2923,"NEW YORK PENN STATION",0,"5134",1269
15,4,2924,"NEW YORK PENN STATION",0,"5150",1270
